"","V1"
"inaug_GeorgeBush_1_40",1
"inaug_GeorgeBush_1_41",1
"inaug_GeorgeBush_1_42",2
"inaug_GeorgeBush_1_43",2
"inaug_GeorgeBush_1_44",15
"inaug_GeorgeBush_1_45",13
"inaug_GeorgeBush_1_46",3
"inaug_GeorgeBush_1_47",4
"inaug_GeorgeBush_1_48",4
"inaug_GeorgeBush_1_49",4
"inaug_GeorgeBush_1_50",6
"inaug_GeorgeBush_1_51",12
"inaug_GeorgeBush_1_52",13
"inaug_GeorgeBush_1_53",13
"inaug_GeorgeBush_1_54",13
"inaug_GeorgeBush_1_55",9
"inaug_GeorgeBush_1_56",10
"inaug_GeorgeBush_1_57",14
"inaug_GeorgeBush_1_58",1
"inaug_GeorgeBush_1_59",11
"inaug_GeorgeBush_1_60",11
"inaug_GeorgeBush_1_61",11
"inaug_GeorgeBush_1_62",11
"inaug_GeorgeBush_1_63",2
"inaug_GeorgeBush_1_64",4
"inaug_GeorgeBush_1_65",7
"inaug_GeorgeBush_1_66",7
"inaug_GeorgeBush_1_67",14
"inaug_GeorgeBush_1_68",9
"inaug_GeorgeBush_1_69",13
"inaug_GeorgeBush_1_70",9
"inaug_GeorgeBush_1_71",9
"inaug_GeorgeBush_1_72",13
"inaug_GeorgeBush_1_73",13
"inaug_GeorgeBush_1_74",6
"inaug_GeorgeBush_1_75",15
"inaug_GeorgeBush_1_76",15
"inaug_GeorgeBush_1_77",15
"inaug_GeorgeBush_1_78",7
"inaug_GeorgeBush_1_79",7
"inaug_GeorgeBush_1_80",5
"inaug_GeorgeBush_1_81",9
"inaug_GeorgeBush_1_82",9
"inaug_GeorgeBush_1_83",1
"inaug_GeorgeBush_1_84",1
"inaug_GeorgeBush_1_85",1
"inaug_GeorgeBush_1_86",9
"inaug_GeorgeBush_1_87",9
"inaug_GeorgeBush_1_88",10
"inaug_GeorgeBush_1_89",11
"inaug_GeorgeBush_1_90",15
"inaug_GeorgeBush_1_91",15
"inaug_GeorgeBush_1_92",1
"inaug_GeorgeBush_1_93",15
"inaug_GeorgeBush_1_94",15
"inaug_GeorgeBush_1_95",15
"inaug_GeorgeBush_1_96",7
"inaug_GeorgeBush_1_97",3
"inaug_GeorgeBush_1_98",8
"inaug_GeorgeBush_1_99",2
"inaug_GeorgeBush_1_100",7
"inaug_GeorgeBush_1_101",12
"inaug_GeorgeBush_1_102",12
"inaug_GeorgeBush_1_103",1
"inaug_GeorgeBush_1_104",7
"inaug_GeorgeBush_1_105",7
"inaug_GeorgeBush_1_106",13
"inaug_GeorgeBush_1_107",13
"inaug_GeorgeBush_1_108",13
"inaug_GeorgeBush_1_109",10
"inaug_GeorgeBush_1_110",10
"inaug_GeorgeBush_1_111",10
"inaug_GeorgeBush_1_112",7
"inaug_GeorgeBush_1_113",10
"inaug_GeorgeBush_1_114",10
"inaug_GeorgeBush_1_115",10
"inaug_GeorgeBush_1_116",10
"inaug_GeorgeBush_1_117",10
"inaug_GeorgeBush_1_118",10
"inaug_GeorgeBush_1_119",10
"inaug_GeorgeBush_1_120",10
"inaug_GeorgeBush_1_121",12
"inaug_GeorgeBush_1_122",2
"inaug_GeorgeBush_1_123",11
"inaug_GeorgeBush_1_124",12
"inaug_GeorgeBush_1_125",13
"inaug_GeorgeBush_1_126",5
"inaug_GeorgeBush_1_127",5
"inaug_GeorgeBush_1_128",5
"inaug_GeorgeBush_1_129",9
"inaug_GeorgeBush_1_130",4
"inaug_GeorgeBush_1_131",4
"inaug_GeorgeBush_1_132",6
"inaug_GeorgeBush_1_133",1
"inaug_GeorgeBush_1_134",4
"inaug_GeorgeBush_1_135",5
"inaug_GeorgeBush_1_136",5
"inaug_GeorgeBush_1_137",5
"inaug_GeorgeBush_1_138",12
"inaug_GeorgeBush_1_139",14
"inaug_GeorgeBush_1_140",3
"inaug_GeorgeBush_1_141",10
"inaug_GeorgeBush_1_142",13
"inaug_GeorgeBush_1_143",9
"inaug_GeorgeBush_1_144",14
"inaug_GeorgeBush_1_145",15
"inaug_GeorgeBush_1_146",2
"inaug_GeorgeBush_1_147",2
"inaug_GeorgeBush_1_148",3
"inaug_GeorgeBush_1_149",2
"inaug_GeorgeBush_1_150",4
"inaug_GeorgeBush_1_151",3
"inaug_GeorgeBush_1_152",3
"inaug_GeorgeBush_1_153",8
"inaug_GeorgeBush_1_154",1
"inaug_GeorgeBush_1_155",7
"inaug_GeorgeBush_1_156",6
"inaug_GeorgeBush_1_157",8
"inaug_GeorgeBush_1_158",13
"inaug_GeorgeBush_1_159",13
"inaug_GeorgeBush_1_160",13
"inaug_GeorgeBush_1_161",13
"inaug_GeorgeBush_1_162",13
"inaug_GeorgeBush_1_163",13
"inaug_GeorgeBush_1_164",13
"inaug_GeorgeBush_1_165",13
"inaug_WilliamJClinton_1_2",1
"inaug_WilliamJClinton_1_3",1
"inaug_WilliamJClinton_1_4",1
"inaug_WilliamJClinton_1_5",1
"inaug_WilliamJClinton_1_6",3
"inaug_WilliamJClinton_1_7",3
"inaug_WilliamJClinton_1_8",7
"inaug_WilliamJClinton_1_9",7
"inaug_WilliamJClinton_1_10",7
"inaug_WilliamJClinton_1_11",7
"inaug_WilliamJClinton_1_12",7
"inaug_WilliamJClinton_1_13",7
"inaug_WilliamJClinton_1_14",7
"inaug_WilliamJClinton_1_15",11
"inaug_WilliamJClinton_1_16",7
"inaug_WilliamJClinton_1_17",10
"inaug_WilliamJClinton_1_18",7
"inaug_WilliamJClinton_1_19",7
"inaug_WilliamJClinton_1_20",5
"inaug_WilliamJClinton_1_21",9
