"","V1"
"inaug_GeorgeWBush_1_86",2
"inaug_GeorgeWBush_1_87",10
"inaug_GeorgeWBush_1_88",2
"inaug_GeorgeWBush_1_89",2
"inaug_GeorgeWBush_1_90",7
"inaug_GeorgeWBush_1_91",7
"inaug_GeorgeWBush_1_92",7
"inaug_GeorgeWBush_1_93",7
"inaug_GeorgeWBush_1_94",5
"inaug_GeorgeWBush_1_95",8
"inaug_GeorgeWBush_1_96",4
"inaug_GeorgeWBush_1_97",4
"inaug_GeorgeWBush_1_98",4
"inaug_GeorgeWBush_1_99",5
"inaug_GeorgeWBush_1_100",4
"inaug_GeorgeWBush_1_101",4
